"","id","group","allele_count","anc_prop"
"248","BCA-Z","FTS",50000,0.5
"249","BCA-Z","non-transloc",24913,0.24913
"250","BCH-Z","ANF",25029,0.25029
"251","BCH-Z","FTS",50000,0.5
"252","BCH-Z","non-transloc",24971,0.24971
"253","BCW-Z","non-transloc",100000,1
"254","BGB-OZ","FTS",100000,1
"255","BGH-Z","ANF",25085,0.25085
"256","BGH-Z","FTS",50000,0.5
"257","BGH-Z","non-transloc",24915,0.24915
"258","BHH-Z","ANF",37615,0.37615
"259","BHH-Z","FTS",25120,0.2512
"260","BHH-Z","non-transloc",37265,0.37265
"261","BHL-Z","ANF",24828,0.24828
"262","BHL-Z","non-transloc",75172,0.75172
"263","BHO-BZ","FTS",100000,1
"264","BHS-Z","ANF",12452,0.12452
"265","BHS-Z","non-transloc",87548,0.87548
"266","BHZ-","non-transloc",100000,1
"267","BKH-Z","ANF",37641,0.37641
"268","BKH-Z","FTB",25084,0.25084
"269","BKH-Z","non-transloc",37275,0.37275
"270","BKW-Z","ANF",87426,0.87426
"271","BKW-Z","non-transloc",12574,0.12574
"272","BKY-Z","ANF",31209,0.31209
"273","BKY-Z","FTS",12406,0.12406
"274","BKY-Z","non-transloc",56385,0.56385
"275","BL-Z","non-transloc",100000,1
"276","BL-ZC","non-transloc",100000,1
"277","BL-ZO","non-transloc",100000,1
"278","BL=Z","non-transloc",100000,1
"279","BLG-Z","ANF",12438,0.12438
"280","BLG-Z","non-transloc",87562,0.87562
"281","BLK-Z","non-transloc",100000,1
"282","BLO-Z","ANF",37606,0.37606
"283","BLO-Z","FTS",24867,0.24867
"284","BLO-Z","non-transloc",37527,0.37527
"285","BLP-Z","ANF",24789,0.24789
"286","BLP-Z","FTS",24894,0.24894
"287","BLP-Z","non-transloc",50317,0.50317
"288","BLW-Z","ANF",12521,0.12521
"289","BLW-Z","non-transloc",87479,0.87479
"290","BLY-Z","ANF",74796,0.74796
"291","BLY-Z","non-transloc",25204,0.25204
"292","BO-Z","non-transloc",100000,1
"293","BOB-Z","ANF",75097,0.75097
"294","BOB-Z","non-transloc",24903,0.24903
"295","BOK-Z","ANF",12438,0.12438
"296","BOK-Z","FTS",24948,0.24948
"297","BOK-Z","non-transloc",62614,0.62614
"298","BOL-Z","ANF",50000,0.5
"299","BOL-Z","non-transloc",50000,0.5
"300","BOP-Z","ANF",24962,0.24962
"301","BOP-Z","FTS",25017,0.25017
"302","BOP-Z","non-transloc",50021,0.50021
