"","founder_id","year","part_found_f_sum","group","pop_size","pfound_fsum_prop","pfound_fsum_scale","val_cumsum"
"144","ZO-OB",2016,0.03366,"non-transloc",117,0.0160043362907597,0.000287692307692308,0.00149735042735043
"145","ZC-LG",2021,0.05028,"non-transloc",172,0.0128395011286912,0.000292325581395349,0.00190616279069767
"146","ZP-GA",2019,0.04312,"non-transloc",146,0.0128513098679701,0.000295342465753425,0.0020841095890411
"147","ZY-SO",2014,0.03048,"non-transloc",102,0.025290408230999,0.000298823529411765,0.000611372549019608
"148","OWO-AZ",2020,0.04764,"ANF",159,0.0137491558295382,0.000299622641509434,0.00169408805031447
"149","OWO-AZ",2015,0.03238,"ANF",107,0.0198419020773332,0.000302616822429907,0.000539532710280374
"150","ZY-SO",2012,0.031,"non-transloc",100,0.0330772513871105,0.00031,0.000786
"151","ZY-SO",2013,0.031,"non-transloc",98,0.0333505465186333,0.000316326530612245,0.000321224489795918
"152","ZG-YP",2012,0.0319,"non-transloc",100,0.034037558685446,0.000319,0.0011005
"153","ZO-OB",2012,0.03202,"non-transloc",100,0.0341655996585574,0.0003202,0.0014201
"154","ZO-OA",2013,0.0316,"non-transloc",98,0.033996040967381,0.000322448979591837,0.000640612244897959
"155","ZO-OA",2014,0.03296,"non-transloc",102,0.0273481579820777,0.000323137254901961,0.00092235294117647
"156","ZP-GA",2020,0.05174,"non-transloc",159,0.0149324375025253,0.000325408805031447,0.00200660377358491
"157","OWO-AZ",2019,0.04764,"ANF",146,0.0141984323309391,0.000326301369863014,0.00239493150684932
"158","ZG-WC",2018,0.04494,"non-transloc",137,0.0137466505157288,0.000328029197080292,0.00161773722627737
"159","ZA-PA",2007,0.02626,"non-transloc",76,0.135305028854081,0.000345526315789474,0.000801447368421053
"160","ZP-GA",2014,0.03566,"non-transloc",102,0.0295884500497843,0.000349607843137255,0.00125872549019608
"161","ZL-SW",2012,0.03512,"non-transloc",100,0.0374733247972685,0.0003512,0.0017558
"162","ZP-GA",2021,0.06132,"non-transloc",172,0.0156586756008621,0.000356511627906977,0.00223058139534884
"163","ZC-LG",2022,0.06046,"non-transloc",167,0.0161366086965805,0.000362035928143713,0.00211215568862275
"164","OAG-HZ",2021,0.06236,"FTS",172,0.0159242500076608,0.000362558139534884,0.00259011627906977
"165","ZA-PG",2007,0.02766,"non-transloc",76,0.142518549051937,0.000363947368421053,0.00115618421052632
"166","ZP-GA",2013,0.03614,"non-transloc",98,0.0388802822962389,0.000368775510204082,0.000986224489795918
"167","ZC-BB",2009,0.0304,"non-transloc",82,0.043516848464027,0.000370731707317073,0.00037219512195122
"168","ZG-YP",2015,0.03992,"non-transloc",107,0.024462283228139,0.000373084112149533,0.000877383177570093
"169","ZB-CA",2018,0.0514,"non-transloc",137,0.015722693291243,0.000375182481751825,0.00196934306569343
"170","ZC-BO",2009,0.03088,"non-transloc",82,0.0442039565976696,0.000376585365853659,0.000745853658536585
"171","ZB-YO",2018,0.05166,"non-transloc",137,0.0158022244246228,0.000377080291970803,0.00234547445255474
"172","ZY-WB",2009,0.03146,"non-transloc",82,0.0450342122591543,0.000383658536585366,0.0011259756097561
"173","ZO-OB",2015,0.04128,"non-transloc",107,0.0252956676266928,0.000385794392523365,0.00125682242990654
"174","OAG-HZ",2020,0.06236,"FTS",159,0.017997425640848,0.000392201257861635,0.00236540880503145
"175","ZG-AP",2008,0.03124,"non-transloc",79,0.0693728903890567,0.000395443037974684,0.000391645569620253
"176","WZ-OLO",2020,0.06318,"FTS",159,0.0182340819754455,0.000397358490566038,0.00276018867924528
"177","ZG-AP",2009,0.03262,"non-transloc",82,0.0466947235821237,0.00039780487804878,0.00151670731707317
"178","ZP-GA",2022,0.06652,"non-transloc",167,0.0177540061279612,0.000398323353293413,0.00249233532934132
"179","ZY-WB",2008,0.03148,"non-transloc",79,0.0699058447326346,0.000398481012658228,0.000788607594936709
"180","ZP-GA",2008,0.0316,"non-transloc",79,0.0701723219044235,4e-04,0.00118784810126582
"181","ZY-GW",2007,0.03066,"non-transloc",76,0.157976092333059,0.000403421052631579,0.00153986842105263
"182","ZG-WC",2014,0.04122,"non-transloc",102,0.0342017922336542,0.000404117647058824,0.00163558823529412
"183","ZO-OL",2008,0.03256,"non-transloc",79,0.0723041392787351,0.000412151898734177,0.00159392405063291
"184","ZO-OB",2013,0.04062,"non-transloc",98,0.0436999741802221,0.000414489795918367,0.00137785714285714
"185","ZG-YP",2013,0.04076,"non-transloc",98,0.0438505895515965,0.000415918367346939,0.0017930612244898
"186","ZY-GW",2016,0.04882,"non-transloc",117,0.0232124687378161,0.000417264957264957,0.00184982905982906
"187","OAG-HZ",2019,0.06236,"FTS",146,0.0185855214138825,0.000427123287671233,0.00277164383561644
"188","ZY-GW",2012,0.04284,"non-transloc",100,0.0457106274007682,0.0004284,0.0021456
"189","ZG-WC",2019,0.06256,"non-transloc",146,0.0186451286025095,0.000428493150684932,0.00319945205479452
"190","ZG-WC",2013,0.04246,"non-transloc",98,0.0456794904897151,0.000433265306122449,0.00221765306122449
"191","ZY-GW",2011,0.04838,"non-transloc",110,0.0417832590596608,0.000439818181818182,0.00118336363636364
"192","ZG-YP",2017,0.05732,"non-transloc",128,0.021783081249525,0.0004478125,0.00186828125
"193","ZO-OB",2017,0.05778,"non-transloc",128,0.0219578931367333,0.00045140625,0.002317890625
"194","ZG-WC",2020,0.07254,"non-transloc",159,0.0209354274532892,0.00045622641509434,0.00318698113207547
"195","ZB-CA",2020,0.07308,"non-transloc",159,0.0210912743077802,0.000459622641509434,0.00364490566037736
"196","ZB-YO",2020,0.07372,"non-transloc",159,0.0212759816908807,0.000463647798742138,0.00410654088050314
"197","OAG-HZ",2022,0.07834,"FTS",167,0.0209087318109513,0.000469101796407186,0.00292604790419162
"198","ZL-SW",2013,0.0461,"non-transloc",98,0.0495954901454514,0.000470408163265306,0.00266948979591837
"199","ZG-YP",2014,0.04904,"non-transloc",102,0.0406903418519748,0.00048078431372549,0.00207803921568627
"200","ZG-WC",2021,0.08318,"non-transloc",172,0.0212408453437657,0.000483604651162791,0.0030131976744186
"201","ZL-SW",2016,0.05696,"non-transloc",117,0.0270827984290455,0.000486837606837607,0.00230188034188034
"202","ZO-OB",2014,0.05058,"non-transloc",102,0.0419681380683704,0.000495882352941177,0.00256637254901961
"203","OAG-HZ",2017,0.06432,"FTS",128,0.0244432621418256,0.0005025,0.00279484375
"204","ZG-WC",2022,0.08848,"non-transloc",167,0.023615070087222,0.000529820359281437,0.00342550898203593
"205","ZY-GW",2015,0.05864,"non-transloc",107,0.0359335743611741,0.00054803738317757,0.00172373831775701
"206","OAG-HZ",2016,0.06432,"FTS",117,0.0305822611474054,0.00054974358974359,0.00282017094017094
"207","ZY-GW",2013,0.05572,"non-transloc",98,0.0599449178070402,0.000568571428571429,0.00318897959183673
"208","ZO-OA",2015,0.06416,"non-transloc",107,0.0393161345670691,0.000599626168224299,0.00229757009345794
"209","OHA-ZK",2021,0.10416,"ANF",172,0.0265982982809164,0.000605581395348837,0.00355779069767442
"210","ZL-SW",2014,0.0618,"non-transloc",102,0.0512777962163956,0.000605882352941176,0.00311725490196078
"211","ZY-GW",2017,0.07846,"non-transloc",128,0.029816827544273,0.00061296875,0.003352578125
"212","ZL-SW",2015,0.066,"non-transloc",107,0.0404436546357007,0.000616822429906542,0.00290579439252336
"213","ZO-OB",2020,0.09874,"non-transloc",159,0.028496885948963,0.000621006289308176,0.0046488679245283
"214","ZG-GWO",2014,0.06424,"ANF",102,0.0533023564553601,0.000629803921568627,0.00373509803921569
"215","ZL-SW",2017,0.08104,"non-transloc",128,0.0307972942160067,0.000633125,0.003975625
"216","ZG-YP",2020,0.10224,"non-transloc",159,0.0295070044502935,0.000643018867924528,0.00528088050314465
"217","ZP-GA",2012,0.06628,"non-transloc",100,0.0707212974818609,0.0006628,0.0026912
"218","ZO-OB",2019,0.09818,"non-transloc",146,0.029261168896969,0.000672465753424658,0.00374993150684932
"219","ZY-GW",2014,0.06874,"non-transloc",102,0.0570361765682044,0.000673921568627451,0.00438696078431373
"220","ZO-OA",2016,0.07918,"non-transloc",117,0.0376477524510503,0.000676752136752137,0.0034334188034188
"221","ZG-YP",2019,0.09936,"non-transloc",146,0.029612851309868,0.00068054794520548,0.00442643835616438
"222","ZY-WB",2010,0.06994,"non-transloc",101,0.0774306401257667,0.000692475247524752,0.000826435643564356
"223","ZB-CA",2022,0.11666,"non-transloc",167,0.0311362350404082,0.000698562874251497,0.0040397005988024
"224","ZG-AP",2010,0.07136,"non-transloc",101,0.0790027234683258,0.000706534653465346,0.00152594059405941
"225","ZB-YO",2022,0.11916,"non-transloc",167,0.0318034782051693,0.000713532934131736,0.00474574850299401
"226","ZB-CA",2021,0.12306,"non-transloc",172,0.0314246024044698,0.00071546511627907,0.00421831395348837
"227","ZG-WC",2012,0.07196,"non-transloc",100,0.0767819035424669,0.0007196,0.0033824
"228","ZB-YO",2021,0.12508,"non-transloc",172,0.031940429617675,0.000727209302325581,0.0049396511627907
"229","ZG-GWO",2022,0.12284,"ANF",167,0.0327856601436975,0.000735568862275449,0.0054702994011976
"230","ZL-SW",2020,0.11888,"non-transloc",159,0.0343093964109047,0.000747672955974843,0.00597622641509434
"231","ZO-OB",2018,0.10384,"non-transloc",137,0.0317635111160053,0.000757956204379562,0.00291299270072993
"232","ZP-GA",2009,0.06244,"non-transloc",82,0.089381316384666,0.000761463414634146,0.00209634146341463
"233","ZG-YP",2018,0.10458,"non-transloc",137,0.0319898689571633,0.000763357664233577,0.0036736496350365
"234","ZC-LP",2009,0.06278,"non-transloc",82,0.0898680179793295,0.000765609756097561,0.00285987804878049
"235","ZG-WC",2009,0.06364,"non-transloc",82,0.0910990867187724,0.00077609756097561,0.00363073170731707
"236","ZO-OA",2017,0.10156,"non-transloc",128,0.0385954244888652,0.0007934375,0.00468890625
"237","ZO-OB",2021,0.13766,"non-transloc",172,0.0351528584999132,0.000800348837209302,0.00570343023255814
"238","ZL-SW",2019,0.11712,"non-transloc",146,0.034905969659941,0.000802191780821918,0.00516780821917808
"239","OHA-ZK",2022,0.13552,"ANF",167,0.0361699174753654,0.000811497005988024,0.00624383233532934
"240","ZG-WC",2007,0.06172,"non-transloc",76,0.318013190436933,0.000812105263157895,0.00214763157894737
"241","ZY-GW",2020,0.1321,"non-transloc",159,0.0381247582930729,0.000830817610062893,0.00676547169811321
"242","ZG-YP",2021,0.14324,"non-transloc",172,0.0365777673363909,0.000832790697674419,0.00652
"243","ZG-WC",2006,0.06172,"non-transloc",74,0.57275426874536,0.000834054054054054,0.00103918918918919
"244","ZY-WB",2012,0.08364,"non-transloc",100,0.0892445582586428,0.0008364,0.0041604
"245","ZO-OL",2010,0.08514,"non-transloc",101,0.0942585744968226,0.000842970297029703,0.00230069306930693
"246","ZY-WB",2011,0.09304,"non-transloc",110,0.0803537499568176,0.000845818181818182,0.00182618181818182
"247","ZO-OB",2022,0.14142,"non-transloc",167,0.0377446113442014,0.000846826347305389,0.00707299401197605
